string_length,number_keys,time,avg_time,size
128,10000,0.480201875,0.0000480201875,2601
256,10000,0.8275685,0.00008275685000000001,5161
384,10000,0.975056875,0.0000975056875,7721
512,10000,1.255858417,0.0001255858417,10281
640,10000,1.4830482090000001,0.0001483048209,12841
768,10000,1.740994417,0.0001740994417,15401
896,10000,1.9719610840000001,0.0001971961084,17961
1024,10000,2.305148959,0.0002305148959,20521
